,event_id,rock_muon_id,length,x_start,y_start,z_start,x_end,y_end,z_end,avg_distance,theta_xz,theta_yz,theta_z
53,134,54,129.0394390932118,24.22289058526132,-51.21269989013672,64.31629943847656,25.132868500089266,-41.01449966430664,-64.31629943847656,0.36018918299819297,85.38447338800036,89.40234450435419,175.34577309841265
54,134,55,135.02780768874038,24.59007465615681,-20.174699783325195,64.31629943847656,56.95360960203596,5.099100112915039,-64.31629943847656,0.4721991401081313,100.82443930366836,103.92185637955467,17.77112922796932
55,136,56,130.7069637779617,54.54296635398299,37.02389907836914,64.31629943847656,38.14739936225846,53.4296989440918,-64.31629943847656,0.48160768866520326,97.00676640773878,82.83922473498028,10.044407742790138
56,136,57,135.2299643377702,-46.54473941839001,-11.833237648010254,64.34400939941406,-17.91690328075189,18.401100158691406,-64.31629943847656,0.4923152150883305,102.96639546057301,101.73473412174941,17.628051461965445
57,145,58,129.00441386848217,45.77844222695595,-30.372900009155273,64.31629943847656,44.98021598587881,-20.618099212646484,-64.31629943847656,0.4248150528377109,93.10967825916256,91.20634543901114,3.335900262264315
58,146,59,117.75052394770795,-51.860926183963784,21.144638061523438,64.34400939941406,-63.35538405547465,17.514299392700195,-52.787899017333984,0.37945202809332756,88.52929403800654,84.33703582375364,5.852033377348103
59,146,60,129.47516125219704,27.176327677246753,27.712499618530273,64.31629943847656,25.340407322769323,42.34469985961914,-64.31629943847656,0.7259428949099375,96.70438370462192,88.86864009168995,6.800036552723424
60,146,61,129.74440687055673,-58.99706877919345,-42.48326110839844,64.34400939941406,-51.44584853860367,-57.4202995300293,-64.31629943847656,0.3933575459114701,83.47684146334416,93.23373563043216,7.286953571097715
61,152,62,128.85383362870257,38.0516122133292,-30.816299438476562,64.31629943847656,33.964693859014226,-18.401100158691406,-63.87289810180664,0.33648184551422,84.35852474357603,91.84440668765808,174.06281408720082
62,155,63,129.17439642336453,43.46358612783224,6.872700214385986,64.31629943847656,34.74695557526983,14.853899955749512,-64.31629943847656,0.5468697353375088,93.6784175428594,86.23700449617569,5.265923840588573
63,159,64,128.95568753232206,-19.225994316118403,-42.09528732299805,64.34400939941406,-23.265019095968746,-34.36349868774414,-64.31629943847656,0.3320267809968969,93.40554375912618,88.18757931390682,3.8588016430207595
64,161,65,150.55107723224668,11.786525749279424,31.703100204467773,64.31629943847656,61.61525084992648,-28.599300384521484,-64.31629943847656,0.7237456575365677,67.01334501726036,109.12570682423387,30.647663335575782
65,169,66,129.25784797900172,13.063687735002855,-14.410499572753906,64.31629943847656,19.25792336576149,-3.325500011444092,-64.31629943847656,0.5657306848377109,94.9286170993557,92.81730829997109,5.680477745145679
66,169,67,130.24593464246212,37.907931489935315,5.099100112915039,64.31629943847656,48.06136927643658,-12.636899948120117,-64.31629943847656,0.367964958254085,82.19179751105455,94.47868921843165,9.015427442684926
67,171,68,129.9605250896727,27.591405322606867,13.967100143432617,64.31629943847656,62.573122339219054,18.401100158691406,-60.769100189208984,0.705885737362722,91.77954207089343,105.95963422957429,16.06383243464586
68,173,69,128.7432854062434,-32.58830159174978,-10.669312477111816,64.34400939941406,-37.1575988233228,-9.976499557495117,-64.31629943847656,0.50727301361197,90.24192647984742,87.94165878366677,2.072521983688868
69,173,70,129.1735704326396,59.06092687847962,2.8821001052856445,64.31629943847656,51.79706808467761,12.193499565124512,-64.31629943847656,0.9587838164216758,94.65573042857835,86.54386131706796,5.802891795057248
70,174,71,122.34862706259614,6.087190387988619,35.250301361083984,64.31629943847656,10.972334983380737,61.85430145263672,-55.00490188598633,0.749104516555432,102.75147476663123,92.32751703773235,12.9692211694903
71,175,72,129.418217999123,15.9851957773452,33.920101165771484,64.31629943847656,9.87078277069428,46.77870178222656,-64.31629943847656,0.31463252889360344,95.62699884650192,87.44736426146554,6.18232901653229
72,175,73,130.38265860522228,27.128434102782123,-37.02389907836914,64.31629943847656,31.486749379063326,-16.184099197387695,-64.31629943847656,0.46094498387919386,99.09191366258099,91.7697490814671,9.265426688693193
73,181,74,129.06849895944598,16.288521748954516,49.88249969482422,64.31629943847656,25.915130216344867,45.44850158691406,-64.31629943847656,0.7299687743902208,88.1586017269202,94.26591311567962,4.647723293129667
74,182,75,129.1040787355383,-22.06767973435303,8.729437828063965,64.34400939941406,-26.633533833314296,18.401100158691406,-64.31629943847656,0.4035566111364766,94.20210120896344,87.89098088718048,4.703362240070374
75,183,76,128.32993298186537,32.4446208683559,-18.844499588012695,64.31629943847656,34.14030363205119,-13.080300331115723,-63.87289810180664,0.524438003466852,92.55287060132841,91.30064494984379,2.865495965569095
76,184,77,119.9465893409091,-5.959474189416276,61.88201141357422,46.109188079833984,-23.360806244898008,18.401100158691406,-64.31629943847656,0.476506860232037,68.66913928295268,81.88831273280462,22.96457745243446
77,185,78,128.425095107755,-21.365240642205144,-58.77821350097656,63.95603561401367,-24.62200370579989,-53.4296989440918,-64.31629943847656,0.27297186227879106,92.2852238401874,88.62457437923985,2.6675929161037746
78,187,79,123.53984084847353,37.1575988233228,-61.85430145263672,57.66529846191406,53.56913033986887,-51.21269989013672,-64.31629943847656,0.39824902458197586,95.07143039740691,97.66038960605047,9.203868708360886
